"Country"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 1989"," 1988"," 1987"," 1986"," 1985"," 1984"," 1983"," 1982"," 1981"," 1980"
"Equatorial Guinea","27","27","20","17","24","30","30","39","59","57","55","54","52","50","48","46","44","43","41","39","81","81","80","79","77","76","76","75","75","15","11","8","4","4","","","","",""
"Eritrea","95","95","95","95","94","94","94","94","95","95","95","95","94","96","98","95","92","89","82","93","86","75","66","58","49","32","","","","","","","","","","","","",""
"Estonia","92","93","93","93","93","94","94","93","94","95","95","95","95","96","95","95","94","94","93","91","88","86","86","80","76","67","","","","","","","","","","","","",""
"Eswatini","90","90","90","84","98","98","92","85","89","89","89","88","88","88","88","87","87","87","87","86","86","86","81","81","96","86","93","79","89","89","89","74","72","59","49","43","39","22",""
"Ethiopia","67","76","74","78","68","70","70","70","69","65","63","61","59","56","54","55","55","55","55","57","70","83","73","65","57","28","13","21","49","26","16","16","7","6","4","4","3","3","3"
"Fiji","99","99","99","99","99","99","99","99","99","99","99","99","98","97","96","95","94","92","91","90","89","88","99","99","96","96","98","99","96","99","99","92","73","68","72","81","65","62","55"
"Finland","91","89","92","97","98","98","99","99","99","99","97","97","97","97","96","96","95","95","96","95","95","95","99","99","98","99","99","97","90","90","99","97","95","89","84","78","78","90","90"
"France","96","96","96","97","98","99","99","99","99","98","99","99","99","98","99","96","97","98","98","98","97","97","97","97","97","95","95","95","95","84","81","89","97","97","97","92","86","80","80"
"Gabon","64","74","74","79","68","77","80","75","68","74","81","78","44","44","44","44","44","44","44","44","47","50","60","70","69","67","66","72","78","78","72","65","59","48","","","","",""
"Gambia","93","92","95","96","97","96","98","95","97","97","96","94","94","94","88","87","86","85","84","83","91","99","97","98","97","96","94","94","94","92","88","80","67","62","78","70","76","66","53"
"Georgia","93","91","92","91","91","94","93","88","88","93","90","88","89","82","66","74","89","83","81","82","80","81","82","82","82","82","68","","","","","","","","","","","",""
"Germany","93","93","93","93","93","93","94","94","94","95","95","95","94","95","96","96","97","96","94","94","94","95","95","95","95","95","80","80","80","80","80","80","90","85","90","94","95","95","80"
"Ghana","98","94","95","88","94","91","91","91","94","94","92","94","84","85","81","80","80","81","88","78","78","72","72","71","71","67","62","60","57","50","45","40","29","18","19","23","25","25","7"
"Greece","99","99","99","99","99","99","99","99","99","99","99","99","98","96","95","93","92","90","89","87","91","95","95","95","95","95","95","77","96","96","98","97","97","96","98","97","96","95","90"
"Grenada","96","91","98","99","81","98","98","95","94","99","99","96","91","99","84","98","98","96","97","87","95","95","80","77","95","91","90","82","69","86","64","81","92","77","75","72","61","41","32"
"Guatemala","85","81","82","90","65","84","94","88","94","92","96","85","90","87","88","84","82","78","80","75","77","73","73","80","73","77","70","69","74","58","58","18","36","42","48","44","45","42","43"
"Guinea","45","45","45","45","42","49","56","63","62","60","59","46","53","59","65","61","56","52","47","43","59","46","48","54","53","53","52","37","18","16","16","16","16","16","15","15","15","",""
"Guinea-Bissau","89","89","89","89","88","88","87","85","82","78","77","76","74","73","69","65","60","56","52","48","54","60","54","45","69","63","66","63","60","54","70","55","47","18","4","3","","",""
"Guyana","94","94","94","92","97","98","97","93","95","97","93","94","92","93","91","91","93","90","79","83","90","88","83","87","90","92","87","81","79","79","69","77","67","77","41","62","73","37","42"
"Haiti","64","64","64","64","63","64","66","67","66","65","64","62","61","60","58","56","54","52","50","48","45","42","42","42","41","39","37","35","40","50","48","28","24","19","13","6","7","3","8"
"Honduras","90","89","94","98","98","98","98","97","97","97","93","94","94","98","94","92","95","99","88","95","97","93","94","94","95","95","94","93","87","86","70","61","63","58","73","51","47","37","31"
"Hungary","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","99","99","99","99","99","99","99","99","99","99","98","99","99","99","99","99","99","98","98","99","98","98"
"Iceland","91","89","91","92","90","91","89","95","96","96","98","97","97","95","99","97","95","92","98","98","99","99","99","99","99","99","94","99","99","99","99","99","99","99","99","97","98","99","99"
